Date_Easy,HospitalizedPatients,IntensiveCarePatients,TotalHospitalizedPatients,HomeConfinement,CurrentPositiveCases,NewPositiveCases,Recovered,Deaths,TotalPositiveCases,%IntensiveCare-TotHosp,%Deaths-TotPos,%TotHosp-TotPos,%Recovered-TotPos
2020-02-24,101,26,127,94,221,221,1,7,229,20.47,3.06,57.47,0.44
2020-02-25,114,35,149,162,311,93,1,10,322,23.49,3.11,47.91,0.31
2020-02-26,128,36,164,221,385,78,3,12,400,21.95,3,42.6,0.75
2020-02-27,248,56,304,284,588,250,45,17,650,18.42,2.62,51.7,6.92
2020-02-28,345,64,409,412,821,238,46,21,888,15.65,2.36,49.82,5.18
2020-02-29,401,105,506,543,1049,240,50,29,1128,20.75,2.57,48.24,4.43
2020-03-01,639,140,779,798,1577,566,83,34,1694,17.97,2.01,49.4,4.9
2020-03-02,742,166,908,927,1835,342,149,52,2036,18.28,2.55,49.48,7.32
2020-03-03,1034,229,1263,1000,2263,466,160,79,2502,18.13,3.16,55.81,6.39
2020-03-04,1346,295,1641,1065,2706,587,276,107,3089,17.98,3.46,60.64,8.93
2020-03-05,1790,351,2141,1155,3296,769,414,148,3858,16.39,3.84,64.96,10.73
2020-03-06,2394,462,2856,1060,3916,778,523,197,4636,16.18,4.25,72.93,11.28
2020-03-07,2651,567,3218,1843,5061,1247,589,233,5883,17.62,3.96,63.58,10.01
2020-03-08,3557,650,4207,2180,6387,1492,622,366,7375,15.45,4.96,65.87,8.43
2020-03-09,4316,733,5049,2936,7985,1797,724,463,9172,14.52,5.05,63.23,7.89
2020-03-10,5038,877,5915,2599,8514,977,1004,631,10149,14.83,6.22,69.47,9.89
2020-03-11,5838,1028,6866,3724,10590,2313,1045,827,12462,14.97,6.64,64.83,8.39
2020-03-12,6650,1153,7803,5036,12839,2651,1258,1016,15113,14.78,6.72,60.78,8.32
2020-03-13,7426,1328,8754,6201,14955,2547,1439,1266,17660,15.17,7.17,58.54,8.15
2020-03-14,8372,1518,9890,7860,17750,3497,1966,1441,21157,15.35,6.81,55.72,9.29
2020-03-15,9663,1672,11335,9268,20603,3590,2335,1809,24747,14.75,7.31,55.02,9.44
2020-03-16,11025,1851,12876,10197,23073,3233,2749,2158,27980,14.38,7.71,55.81,9.82
2020-03-17,12894,2060,14954,11108,26062,3526,2941,2503,31506,13.78,7.94,57.38,9.33
2020-03-18,14363,2257,16620,12090,28710,4207,4025,2978,35713,13.58,8.34,57.89,11.27
2020-03-19,15757,2498,18255,14935,33190,5322,4440,3405,41035,13.68,8.3,55,10.82
2020-03-20,16020,2655,18675,19185,37860,5986,5129,4032,47021,14.22,8.57,49.33,10.91
2020-03-21,17708,2857,20565,22116,42681,6557,6072,4825,53578,13.89,9.01,48.18,11.33
2020-03-22,19846,3009,22855,23783,46638,5560,7024,5476,59138,13.17,9.26,49.01,11.88
2020-03-23,20692,3204,23896,26522,50418,4789,7432,6077,63927,13.41,9.51,47.4,11.63
2020-03-24,21937,3396,25333,28697,54030,5249,8326,6820,69176,13.41,9.86,46.89,12.04
2020-03-25,23112,3489,26601,30920,57521,5210,9362,7503,74386,13.12,10.09,46.25,12.59
2020-03-26,24753,3612,28365,33648,62013,6153,10361,8165,80539,12.73,10.14,45.74,12.86
2020-03-27,26029,3732,29761,36653,66414,5959,10950,9134,86498,12.54,10.56,44.81,12.66
2020-03-28,26676,3856,30532,39533,70065,5974,12384,10023,92472,12.63,10.84,43.58,13.39
2020-03-29,27386,3906,31292,42588,73880,5217,13030,10779,97689,12.48,11.03,42.36,13.34
2020-03-30,27795,3981,31776,43752,75528,4050,14620,11591,101739,12.53,11.39,42.07,14.37
2020-03-31,28192,4023,32215,45420,77635,4053,15729,12428,105792,12.49,11.75,41.5,14.87
2020-04-01,28403,4035,32438,48134,80572,4782,16847,13155,110574,12.44,11.9,40.26,15.24
2020-04-02,28540,4053,32593,50456,83049,4668,18278,13915,115242,12.44,12.07,39.25,15.86
2020-04-03,28741,4068,32809,52579,85388,4585,19758,14681,119827,12.4,12.25,38.42,16.49
2020-04-04,29010,3994,33004,55270,88274,4805,20996,15362,124632,12.1,12.33,37.39,16.85
2020-04-05,28949,3977,32926,58320,91246,4316,21815,15887,128948,12.08,12.32,36.08,16.92
2020-04-06,28976,3898,32874,60313,93187,3599,22837,16523,132547,11.86,12.47,35.28,17.23
2020-04-07,28718,3792,32510,61557,94067,3039,24392,17127,135586,11.66,12.63,34.56,17.99
2020-04-08,28485,3693,32178,63084,95262,3836,26491,17669,139422,11.48,12.67,33.78,19
2020-04-09,28399,3605,32004,64873,96877,4204,28470,18279,143626,11.26,12.73,33.04,19.82
2020-04-10,28242,3497,31739,66534,98273,3951,30455,18849,147577,11.02,12.77,32.3,20.64
2020-04-11,28144,3381,31525,68744,100269,4694,32534,19468,152271,10.72,12.79,31.44,21.37
2020-04-12,27847,3343,31190,71063,102253,4092,34211,19899,156363,10.72,12.73,30.5,21.88
2020-04-13,28023,3260,31283,72333,103616,3153,35435,20465,159516,10.42,12.83,30.19,22.21
2020-04-14,28011,3186,31197,73094,104291,2972,37130,21067,162488,10.21,12.97,29.91,22.85
2020-04-15,27643,3079,30722,74696,105418,2667,38092,21645,165155,10.02,13.11,29.14,23.06
2020-04-16,26893,2936,29829,76778,106607,3786,40164,22170,168941,9.84,13.12,27.98,23.77
2020-04-17,25786,2812,28598,78364,106962,3493,42727,22745,172434,9.83,13.19,26.74,24.78
2020-04-18,25007,2733,27740,80031,107771,3491,44927,23227,175925,9.85,13.2,25.74,25.54
2020-04-19,25033,2635,27668,80589,108257,3047,47055,23660,178972,9.52,13.22,25.56,26.29
2020-04-20,24906,2573,27479,80758,108237,2256,48877,24114,181228,9.36,13.31,25.39,26.97
2020-04-21,24134,2471,26605,81104,107709,2729,51600,24648,183957,9.29,13.4,24.7,28.05
2020-04-22,23805,2384,26189,81510,107699,3370,54543,25085,187327,9.1,13.39,24.32,29.12
2020-04-23,22871,2267,25138,81710,106848,2646,57576,25549,189973,9.02,13.45,23.53,30.31
2020-04-24,22068,2173,24241,82286,106527,3021,60498,25969,192994,8.96,13.46,22.76,31.35
2020-04-25,21533,2102,23635,82212,105847,2357,63120,26384,195351,8.89,13.51,22.33,32.31
2020-04-26,21372,2009,23381,82722,106103,2324,64928,26644,197675,8.59,13.48,22.04,32.85
2020-04-27,20353,1956,22309,83504,105813,1739,66624,26977,199414,8.77,13.53,21.08,33.41
2020-04-28,19723,1863,21586,83619,105205,2091,68941,27359,201505,8.63,13.58,20.52,34.21
2020-04-29,19210,1795,21005,83652,104657,2086,71252,27682,203591,8.55,13.6,20.07,35
2020-04-30,18149,1694,19843,81708,101551,1872,75945,27967,205463,8.54,13.61,19.54,36.96
2020-05-01,17569,1578,19147,81796,100943,1965,78249,28236,207428,8.24,13.61,18.97,37.72
2020-05-02,17357,1539,18896,81808,100704,1900,79914,28710,209328,8.14,13.72,18.76,38.18
2020-05-03,17242,1501,18743,81436,100179,1389,81654,28884,210717,8.01,13.71,18.71,38.75
2020-05-04,16823,1479,18302,81678,99980,1221,82879,29079,211938,8.08,13.72,18.31,39.11
2020-05-05,16270,1427,17697,80770,98467,1075,85231,29315,213013,8.06,13.76,17.97,40.01
2020-05-06,15769,1333,17102,74426,91528,1444,93245,29684,214457,7.79,13.84,18.68,43.48
2020-05-07,15174,1311,16485,73139,89624,1401,96276,29958,215858,7.95,13.88,18.39,44.6
2020-05-08,14636,1168,15804,72157,87961,1327,99023,30201,217185,7.39,13.91,17.97,45.59
2020-05-09,13834,1034,14868,69974,84842,1083,103031,30395,218268,6.95,13.93,17.52,47.2
2020-05-10,13618,1027,14645,68679,83324,802,105186,30560,219070,7.01,13.95,17.58,48.01
2020-05-11,13539,999,14538,67950,82488,744,106587,30739,219814,6.87,13.98,17.62,48.49
2020-05-12,12865,952,13817,67449,81266,1402,109039,30911,221216,6.89,13.97,17,49.29
2020-05-13,12172,893,13065,65392,78457,888,112541,31106,222104,6.84,14.01,16.65,50.67
2020-05-14,11453,855,12308,64132,76440,992,115288,31368,223096,6.95,14.06,16.1,51.68
2020-05-15,10792,808,11600,60470,72070,789,120205,31610,223885,6.97,14.12,16.1,53.69
2020-05-16,10400,775,11175,59012,70187,875,122810,31763,224760,6.94,14.13,15.92,54.64
2020-05-17,10311,762,11073,57278,68351,675,125176,31908,225435,6.88,14.15,16.2,55.53
2020-05-18,10207,749,10956,55597,66553,451,127326,32007,225886,6.84,14.17,16.46,56.37
2020-05-19,9991,716,10707,54422,65129,813,129401,32169,226699,6.69,14.19,16.44,57.08
2020-05-20,9624,676,10300,52452,62752,665,132282,32330,227364,6.56,14.22,16.41,58.18
2020-05-21,9269,640,9909,51051,60960,642,134560,32486,228006,6.46,14.25,16.25,59.02
2020-05-22,8957,595,9552,49770,59322,652,136720,32616,228658,6.23,14.26,16.1,59.79
2020-05-23,8695,572,9267,48485,57752,669,138840,32735,229327,6.17,14.27,16.05,60.54
2020-05-24,8613,553,9166,47428,56594,531,140479,32785,229858,6.03,14.26,16.2,61.12
2020-05-25,8185,541,8726,46574,55300,300,141981,32877,230158,6.2,14.28,15.78,61.69
2020-05-26,7917,521,8438,44504,52942,397,144658,32955,230555,6.17,14.29,15.94,62.74
2020-05-27,7729,505,8234,42732,50966,584,147101,33072,231139,6.13,14.31,16.16,63.64
2020-05-28,7379,489,7868,40118,47986,593,150604,33142,231732,6.22,14.3,16.4,64.99
2020-05-29,7094,475,7569,38606,46175,516,152844,33229,232248,6.28,14.31,16.39,65.81
2020-05-30,6680,450,7130,36561,43691,416,155633,33340,232664,6.31,14.33,16.32,66.89
2020-05-31,6387,435,6822,35275,42097,355,157507,33415,233019,6.38,14.34,16.21,67.59
